No,Key Action,Transformative_Action,App Name,Value_Chain,Service,Comparison Tech,all_tech,Tech,Tech2,Tech3,Tech4,Origin_city,Origin_country,Country_adoption,info additional,all_donors,Donor1,Donor2,Donor3,Donor 4,Donor5,OThers donors,Org1,Org2,Org3,,User_payment,Ownership,Description,all_levels,Level1,Level2,Level3,Level4,Level5,#,Pro_poor focus?,website,Twitter,Information ,Link ,Issues,Donors double chekc
52,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,River Bank Erosion Prediction-BRAC,RESOURCES,Digital Advisory,"Remote sensing, Satellite image analysis and GIS.","GIS/RemoteSensing,,",GIS/RemoteSensing,,,,,Bangladesh,Bangladesh,Donor,"BRAC Humanitarian Program,,,,",BRAC Humanitarian Program,,,,,,BRAC Humanitarian Program,Center for Environmental and Geographic Information Services (CEGIS),,,,,"The technology involves a number of stages which begin with remote sensing analysis of high resolution satellite images for the identification of erosion risk area. Combined application of GIS with the result of remote sensing analysis leads the way to spatial presentation of risk area. Later the GPS survey and land use map analysis with ERDAS Imagine 14.0 (Remote sensing) and ArcGIS 10.3(GIS analysis), spatial data of risk areas have been identified. The overlay analysis of risk area and social map resulted the risk map with vulnerable areas. Once the vulnerable sites are identified, a number of dissemination materials are prepared including base maps, posters and leaflets; the materials are then distributed among members of the community, community meetings are organized to spread awareness and inform the vulnerable community about the extent and possibility of erosion. Red and yellow flags are used to mark zones addressed in details on precise location according to the GPS point","Individual,Community,,,",Individual,Community,,,,,Yes,http://www.brac.net/,,,,,1
53,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Rice Doctor,AGTECH,Digital Advisory,Mobile app,"Mobile - Advisory,,",Mobile - Advisory,,,,,Philippines,Philipines,Donor,"Australian Goverment,,,,",Australian Goverment,,,,,,International Rice Research Institute,,,,,,"Rice Doctor is a diagnostics tool that helps in identifying problems in rice crops and provides actionable advice on how to manage them. It supports farmers and agricultural extension workers in providing:

1. Instant midseason in-field diagnosis to 86 problems
2. Management and prevention options
3. Direct access to information about rice pests and diseases

Rice Doctor was primarily developed as a tool for agricultural extension workers (AEWs) and farmers. However, it can also be used by rice extension intermediaries (REIs). These are students, private input dealers, and others who help in bridging the information gap between research and farm practice.","Individual,Government,,,",Individual,Government,,,,,Yes,ricedoctor@irri.org,,,,,1
54,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Risk-contingent credit (RCC),FINTECH,Insurance,"Sensors, mobile app, satellite images, and mobile payment (e.g.M-Pesa in Kenya)","Sensors,GIS/RemoteSensing,",Sensors,GIS/RemoteSensing,,,,India,"Kenya, India, and South Asia, Africa","Donor, Private investors",",,,,",,,,,,,International Food Policy Research Institute (IFPRI),,,,,,"Under Global Resilience Partnership, IFPRI won a project titled “Satellite Technologies, Innovative and Smart Financing for Food Security (SATISFy)”. SATISFy team is scheduled to implement a market-based, innovative insurance embedded credit solution in the form of Risk-Contingent Credit (RCC), a social safety net that could mitigate drought related production risk and can also provide access to credit for agriculture.  RCC is an insurance-linked financial product which, when triggered, offsets loan payments due to the lender. The triggering event is defined around measurable covariate risks of a catastrophic nature such as price drop or drought that affect crop yields. The underlying risk is captured through the development of a satellite-derived drought index that integrates environmental key variables (e.g. rainfall, vegetation and soil moisture) based on state-of-the-art remote sensors.","Individual,Business,,,",Individual,Business,,,,,Yes,http://www.globalresiliencepartnership.org/teams/1ifpri-harnessing-power-tech/,,,,,1
55,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",Self Help Group App,DIGITAL DIVIDE,E-Learning,"Mobile app, E-learning, Digital financial services for the poor","Mobile - Advisory,Website ,",Mobile - Advisory,Website ,,,,India,"India, Ethiopia, Tanzania, Kenya",Donor,",,,,",,,,,,,Code Innovation LLC,,,,,,"Since 2013, the Self Help Group app has been co-designed with partners and active SHGs to be a robust facilitator guide capable of supporting SHG needs, including professional development for group facilitators; six months of meeting content around empowerment and livelihoods designed to sharpen the financial and business literacy of groups; thematic learning modules focused on disaster resilience; monitoring capabilities that shed light on needs & priorities of SHGs; and social functions that enable knowledge sharing. The curriculum is sequenced to support facilitators from community mobilization to a detailed script for weekly meetings. The front-end is for SHG facilitators, while the back-end is for program coordinators who need aggregate group data. The app is created for use in no-bandwidth environments by SHG facilitators, while the data gathered is optimized for program decision-makers managing multiple SHGs across a geographic area.","Organizations,,,,",Organizations,,,,,,Yes,http://codeinnovation.com/,,,,,1
56,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,SMS Weather Messaging System,AGTECH,Digital Advisory,SMS Weather Messaging System,"SMS,,",SMS,,,,,Mongolia,Mongolia,Donor,",,,,",,,,,,,Mercy Corps,,,,,Donors Programs (international Based),"Herders in Mongolia have traditionally depended on generalized, and sometimes inaccurate weather information from TV and radio to prepare their herds for extreme weather conditions such as snow, dust storm and heavy rain. To provide more accurate and timely weather information, Mercy Corps has developed a mobile messaging system that provides sub-district level weather and forage information directly to herders' mobile phones. The SMS system delivers on-demand weather and pasture forage updates in response to text prompts from users.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,No ,http://mercycorps.org/,,,,,1
57,5.Adapt governance to new challenges,18. Strengthen innovation systems,StoveTrace,CONSUMER  & MARKETS,Health & Nutrition,"Wireless sensors, data analytics, cloud analytics, web-based dashboard, mobile money app, automatic data upload via SMS/GPRS","SMS,Data Analytics,Sensors",SMS,Data Analytics,Sensors,,,India,India,"Academic institution, Donor",",,,,",,,,,,,Nexleaf Analytics,,,,,,"Every day, about 3 billion people rely on open fires inside their homes to cook meals. Exposure to the resulting indoor smoke kills more than 4 million people around the world each year. These fires also emit high quantities of black carbon, which is the second-largest contributor to global climate change. “Clean” cookstoves are designed to replace these harmful cooking methods, but many obstacles exist to achieving widespread adoption.

StoveTrace is a cloud-based monitoring system designed to track clean cookstove usage in remote locations. StoveTrace combines wireless sensors with powerful cloud-based analytics to enable responsive clean energy interventions. It’s a key component of the Sensor-Enabled Climate Financing (SCF) model, which rewards rural women who switch to clean cooking. Women receive mobile payments based on clean cookstove usage data from StoveTrace, empowering them to repay microloans to purchase clean cookstoves and earn additional income.","Individual,Community,,,",Individual,Community,,,,,Yes,nexleaf.org,,,,,1
58,"1.Increase productivity, employment and value addition in food systems","1. Facilitate access to productive resources, finance and services",TerraMagna ,FINTECH,Insurance,,"GIS/RemoteSensing,Big data,",GIS/RemoteSensing,Big data,,,Sao Paulo,Brazil,,,"Accion Venture Lab,,,,",Accion Venture Lab,,,,,,"TerraMagna addresses this problem by using their proprietary machine learning platform and monitoring technology to generate a more personalized farmer credit score and an accurate estimate of collateral value. This approach reduces the manual cost of the underwriting process, which lowers the retailers’ credit risk and enables them to provide lower-cost loans. Lenders in Brazil have typically used land as collateral and have found it difficult to properly accept crops as collateral, given the high fraud risk. Using satellite images, TerraMagna can track the crop status in real-time and help prevent fraud attempts. This approach aligns with our thesis that technology and innovative lending models can work together to create new asset collateral, ultimately granting better access and better credit pricing to smallholder farmers.",,,,,Startup,"TerraMagna addresses this problem by using their proprietary machine learning platform and monitoring technology to generate a more personalized farmer credit score and an accurate estimate of collateral value. This approach reduces the manual cost of the underwriting process, which lowers the retailers’ credit risk and enables them to provide lower-cost loans. Lenders in Brazil have typically used land as collateral and have found it difficult to properly accept crops as collateral, given the high fraud risk. Using satellite images, TerraMagna can track the crop status in real-time and help prevent fraud attempts. This approach aligns with our thesis that technology and innovative lending models can work together to create new asset collateral, ultimately granting better access and better credit pricing to smallholder farmers.","Individual,Business,Organizations,,",Individual,Business,Organizations,,,,Yes,https://terramagna.com.br/,,,,,
59,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,the Aclímate Colombia project,AGTECH,Digital Advisory,AI+ advisory services ,"AI & Machine learning,Data Analytics,",AI & Machine learning,Data Analytics,,,Cali,Colombia,Colombia,,"USAID,,,,",USAID,,,,,,CIAT,IDEAM,,,,Parnertship,"the Aclímate Colombia project—led by the International Center for Tropical
Agriculture with private sector industry groups and government actors participating—
uses open data sources to extend information to farmers on how
to navigate shifting weather patterns due to climate change. It has accelerated
knowledge transfer from research centers to the field. Farmers receive sitespecific
temperature data to maximize rice yields and support banana planting
decision-making, rainfall frequency data to increase irrigation efficiency,
and solar radiation information to improve rice ripening. The improvements
to farmers’ decision-making led to estimated savings of $3.6 million in the first
year of the project (Young and Verhulst 2017).","Individual,Organizations,Government,,",Individual,Organizations,Government,,,,Yes,https://odimpact.org/case-aclimate-colombia.html,,,,,
60,3.Improve livelihoods and foster inclusive economic growth ,9. Empower people and fight inequalities,The Echo platform,DIGITAL DIVIDE,Digital Advisory,"The Echo platform integrates with 2G channels such as SMS, USSD and Interactive Voice Response (IVR) as well as 3G channels such as Android data collection apps.","SMS,IVR,USSD",SMS,IVR,USSD,,,Kenya,"Kenya, Nigeria, Tanzania, Uganda","Self-funded, User fees",",,,,",,,,,,,Echo Mobile,,,,,,"The Echo platform is a cloud-based mobile-enabled communication and information management platform, operated and developed in Kenya by Echo Mobile. Through the Echo platform, organisations leverage on a basic phone channels such as SMS, USSD,and Voice, to enable cost-effective monitoring and communication with targeted populations. Through these rautomated real-time conversations, organisations are able to better understand their field operations, extend their reach, and engage the communities they serve.

To access the Echo platform, users can use any computer with internet to log-in. The user then sets up custom communication messages using a simple point-and-click survey builder tool and pushes it to end-users via the mobile channels of choice (SMS, IVR, etc). As recipients engage and respond from their mobile phone, the data is synced back to the platform where it is aggregated and visualised as summary statistics. Data can also be exported for further analysis.","Individual,Community,Business,Government,",Individual,Community,Business,Government,,,Yes,www.echomobile.org,,,,,1
61,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,TraceVerified ,FOOD SAFETY& TRACEABIILITY,Logistic managment,"- Sensors: Temperature, Camera, RFID, etc.
- Mobile app: for consumers to scan QR code, for famers to input data.
- Big data analysis: Traceability for agricultural products by location, producers and food sectors
- Blockchain technology.
","Big data,Blockchain,Sensors",Big data,Blockchain,Sensors,,Ho Chi Min,Viet Nam,Viet Nam,"Private investors, Self-funded, User fees","The Global Competitiveness Facility,,,,",The Global Competitiveness Facility,,,,,,TraceVerified,,,,,Startup,"TraceVerified, in partnership with the Food Transparency Association, provides Internet-enabled tools and solutions in food traceability, and thus transparency, as the basis for food quality assurance from farm to table. Like a tracked FedEx package, TraceVerified enables a consumer to see the end-to-end journey of their bunch of carrots, pack of pork loin, or any farm-produced food product.","Individual,Business,,,",Individual,Business,,,,,Yes,http://traceverified.com/,,,,,1
62,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,TruTrade,FOOD SAFETY& TRACEABIILITY,e-commerce,,"QR Codes,Video,",QR Codes,Video,,,,United Kingdom,,,",,,,",,,,,,,TrueTrade,,,,User,NGO,"“Market linkages” and “fair prices” are buzz words and can be loosely used by anyone, but how do you as a consumer know that the company that you are currently purchasing from, or how does a farmer know the company that he is selling to is walking the talk. This was a dilemma that TruTrade initially grappled with and we wanted to ensure that we walk the talk and not be seen as yet one more exploitative brokers in the value-chain. To that end, two of our biggest innovations have been in implementing the transparency meter and the traceability QR code to ensure that we are not perceived as a broker and provide complete visibility into the supply chain costs.","Individual,Business,,,",Individual,Business,,,,,Yes,https://trutrade.org/market-linkages/,,,,,
63,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,TruTrade Africa,CONSUMER  & MARKETS,Logistic managment,,"Management Software,Data Visualization,",Management Software,Data Visualization,,,Mulago,Uganda,,,",Self Help Afica,,Mercy Crops,",,Self Help Afica,,Mercy Crops,, Irish Aid,TrueTradeAfrica,,,,User,Social Entrerprise,"TruTradeis a social enterprise that digitizes value chain transactions making rural agricultural markets work better for farmers, aggregators and buyers. TruTrade’s service provides farmers with reliable routes to market and fair prices as well as agribusinesses and wholesalers with traceable produce to meet their quality specifications","Individual,Business,,,",Individual,Business,,,,,Yes,http://www.trutradeafrica.net/,,"TruTradeis a social enterprise that digitizes value chain transactions making rural agricultural markets work better for farmers, aggregators and buyers. TruTrade’s service provides farmers with reliable routes to market and fair prices as well as agribusinesses and wholesalers with traceable produce to meet their quality specifications",http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
64,"1.Increase productivity, employment and value addition in food systems",4. Build producers’ knowledge and develop their capacities,UjuziKilimo,AGTECH,Digital Advisory,,"Sensors,AI & Machine learning,SMS",Sensors,AI & Machine learning,SMS,,Nairobi,Kenya,,,"Google ,World Bank,,,",Google ,World Bank,,,,,Ujuzi Kilimo,,,,,Startup,"UjuziKilimo is a data driven agronomy services company that uses innovative data acquisition technologies and comprehensive database to collect and analyze farm data to help farmers and agriculture players make better decisions and build targeted services.  UjuziKilimo utilizes data science and machine learning to provide actionable agronomic insights to farmers; business intelligence & predictive analytics to Agriculture service providers & businesses through a fully integrated data platform, powered by millions of data sets.","Individual,Government,Organizations,,",Individual,Government,Organizations,,,,Yes,https://www.ujuzikilimo.com/,https://twitter.com/ujuzikilimo?lang=en,"UjuziKilimo provides a simple and fast way for smallholder farmers to monitor soil fertility. UjuziKilimo’s proprietary Sensor technology SoilPal is a GPS and internet enabled device with sensors that is used in farms to monitor the levels of macro nutrients, weather, soil pH and moisture content which directs water, lime and fertilizer nutrient application rates based on local requirements",http://documents1.worldbank.org/curated/en/404601562827298352/pdf/Creating-an-Innovation-to-Connect-a-Million-Kenyan-Farmers-to-Disruptive-Agricultural-Technologies.pdf,,
65,"1.Increase productivity, employment and value addition in food systems",2. Connect smallholders to markets,Verifik8,FISHTECH,Logistic managment,"Data analytics software to measure, monitor and verify performances, connecting to any sensors, GPS or solution to improve reliable data acquisition ","Data Analytics,GIS/RemoteSensing,",Data Analytics,GIS/RemoteSensing,,,,Thailand,"Thailand, Indonesia, Philippines, Vietnam","Academic institution, Self-funded",",,,,",,,,,,,FairAgora Asia,,,,,,"Verifik8 data analytics software measures, monitors and verifies seafood producers' (particularly small scale) social and environmental performances to de-risk buyers' operations and improve transparency in the supply chain. ","Community,Business,,,",Community,Business,,,,,Yes,www.verifik8.com,,,,,1
66,2.Protect and enhance natural resources,6. Protect water and manage scarcity,WaPOR,AGTECH,Digital Advisory,,"GIS/RemoteSensing,,",GIS/RemoteSensing,,,,,Italy,,,"Dutch Ministry of Foreign Affairs,,,,",Dutch Ministry of Foreign Affairs,,,,,,IHE-Delft,FAO,,,,Donors Programs (international Based),"The first phase of WaPOR, which recently concluded, focussed on creating a database using remotely sensed data for Africa and the Middle East. Mul said that a lot of time was spent on the calibration and validation of the data. The resulting database offers a high resolution (250m) database containing not only information related to water, but also combines it with biomass production, something that other databases have not done. Ultimately, this portal gives open access to near real time, pixel-based information that can be used by farmers, irrigation managers, river basin organisations and governmental agencies to improve water productivity and allocation on the ground
 putting the tools online would make them accessible to a larger audience.","Individual,Community,Business,Government,Organizations",Individual,Community,Business,Government,Organizations,,Yes,https://wapor.apps.fao.org/home/WAPOR_2/3?theme=L3_BKA_AETI_A&dim=YEAR:%255B2020-01-01%252C2021-01-01),,,https://www.un-ihe.org/stories/wapor-putting-open-data-and-education-action,"“There’s a portal, but the data is often not presented in a way that is insightful for the end users,” said Mul. “So, we’re developing tools and scripts to make the transition from what is in the database to nice figures and ways to analyse the data depending on the needs of the end users.” 
https://www.un-ihe.org/stories/wapor-putting-open-data-and-education-action",
67,"4.Enhance the resilience of people, communities and ecosystems",13. Prevent and protect against shocks: enhance resilience,Weather Agro-met Advisory Service (WaaS),AGTECH,Digital Advisory,"Mobile App, Data analysis, Content CMS, Weather API, SMS, OBD","Data Analytics,SMS,Mobile - Advisory",Data Analytics,SMS,Mobile - Advisory,,,Bangladesh,Bangladesh,"Donor, Private investors, Self-funded, User fees",",,,,",,,,,,,Win Miaki Ltd.,,,,,,"Since we are submitting on ""Recurring event response- it enables people to more effectively respond to recurring events (e.g. seasonal flooding, income instability)"" our innovation is to introduce a digital platform coupled with weather and agriculture info to deliver through different ICT channels like OBD/ IVR/ SMS/ App push so that every registered farmer can avail weather agro-met information from the platform. We call it Weather Agro-met Advisory Service (WaaS). This service will help the farmers to protect crop/ fisheries/ livestock from extreme events related direct effect and pest related indirect effect by providing the following specific (crop, crop stage, time, location and person) information: 01. Advance weather info, 02. Possible effects of adverse weather, 03. Advisories to protect their crop/ fisheries/ livestock from the adverse weather through Effect, Prevention and Control related information. All driven by algorithm and CMS hosted in cloud servers.","Individual,Community,Business,,",Individual,Community,Business,,,,Yes,win.miaki.co,,,,,1
